1	1	2001-05-31 00:00:00.000	4	1	50.2600	201.0400	3.00	.00	3.00	2001-05-24 00:00:00.000
2	2	2001-05-31 00:00:00.000	3	359	45.1200	135.3600	3.00	.00	3.00	2001-05-24 00:00:00.000
2	3	2001-05-31 00:00:00.000	3	360	45.5805	136.7415	3.00	.00	3.00	2001-05-24 00:00:00.000
3	4	2001-05-31 00:00:00.000	550	530	16.0860	8847.3000	550.00	.00	550.00	2001-05-24 00:00:00.000
4	5	2001-05-31 00:00:00.000	3	4	57.0255	171.0765	2.00	1.00	1.00	2001-05-24 00:00:00.000
5	6	2001-06-14 00:00:00.000	550	512	37.0860	20397.3000	550.00	.00	550.00	2001-06-07 00:00:00.000
6	7	2001-06-14 00:00:00.000	550	513	26.5965	14628.0750	468.00	.00	468.00	2001-06-07 00:00:00.000
7	8	2001-06-14 00:00:00.000	550	317	27.0585	14882.1750	550.00	.00	550.00	2001-06-07 00:00:00.000
7	9	2001-06-14 00:00:00.000	550	318	33.5790	18468.4500	550.00	.00	550.00	2001-06-07 00:00:00.000
7	10	2001-06-14 00:00:00.000	550	319	46.0635	25334.9250	550.00	.00	550.00	2001-06-07 00:00:00.000
8	11	2001-06-14 00:00:00.000	3	403	47.4705	142.4115	3.00	.00	3.00	2001-06-07 00:00:00.000
8	12	2001-06-14 00:00:00.000	3	404	45.3705	136.1115	3.00	.00	3.00	2001-06-07 00:00:00.000
8	13	2001-06-14 00:00:00.000	3	405	49.6440	148.9320	3.00	.00	3.00	2001-06-07 00:00:00.000
8	14	2001-06-14 00:00:00.000	3	406	45.3705	136.1115	3.00	.00	3.00	2001-06-07 00:00:00.000
8	15	2001-06-14 00:00:00.000	3	407	43.2705	129.8115	3.00	.00	3.00	2001-06-07 00:00:00.000
9	16	2002-01-28 00:00:00.000	3	422	47.5230	142.5690	3.00	.00	3.00	2002-01-21 00:00:00.000
9	17	2002-01-28 00:00:00.000	3	423	45.4230	136.2690	3.00	.00	3.00	2002-01-21 00:00:00.000
9	18	2002-01-28 00:00:00.000	3	424	49.6965	149.0895	3.00	.00	3.00	2002-01-21 00:00:00.000
9	19	2002-01-28 00:00:00.000	3	425	45.4230	136.2690	3.00	.00	3.00	2002-01-21 00:00:00.000
9	20	2002-01-28 00:00:00.000	3	426	43.3230	129.9690	3.00	.00	3.00	2002-01-21 00:00:00.000
10	21	2002-01-28 00:00:00.000	3	320	47.4705	142.4115	3.00	.00	3.00	2002-01-21 00:00:00.000
10	22	2002-01-28 00:00:00.000	3	321	42.7980	128.3940	3.00	.00	3.00	2002-01-21 00:00:00.000
10	23	2002-01-28 00:00:00.000	60	322	25.4205	1525.2300	60.00	.00	60.00	2002-01-21 00:00:00.000
