893		749	2000-06-26 00:00:00.000		EA 	0	1.00	2000-06-12 00:00:00.000
271		750	2000-04-04 00:00:00.000	2000-06-03 00:00:00.000	EA 	0	1.00	2000-06-03 00:00:00.000
34		750	2000-06-04 00:00:00.000		EA 	0	1.00	2000-05-21 00:00:00.000
830		751	2000-06-26 00:00:00.000		EA 	0	1.00	2000-06-12 00:00:00.000
2074		752	2000-08-08 00:00:00.000		EA 	0	1.00	2000-07-25 00:00:00.000
1950		753	2000-07-20 00:00:00.000	2000-09-18 00:00:00.000	EA 	0	1.00	2000-09-18 00:00:00.000
1761		753	2000-09-19 00:00:00.000		EA 	0	1.00	2000-09-05 00:00:00.000
3088		754	2001-01-15 00:00:00.000		EA 	0	1.00	2001-01-01 00:00:00.000
3351		755	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
3246		756	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
2760		757	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
2395		758	2000-09-05 00:00:00.000		EA 	0	1.00	2000-08-22 00:00:00.000
3087		759	2001-01-15 00:00:00.000		EA 	0	1.00	2001-01-01 00:00:00.000
3350		760	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
2822		761	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
3245		762	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
2759		763	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
2394		764	2000-09-05 00:00:00.000		EA 	0	1.00	2000-08-22 00:00:00.000
3341		765	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
2815		766	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
2449		767	2000-09-05 00:00:00.000		EA 	0	1.00	2000-08-22 00:00:00.000
2899		768	2000-10-16 00:00:00.000	2000-12-15 00:00:00.000	EA 	0	1.00	2000-12-15 00:00:00.000
2738		768	2000-12-16 00:00:00.000		EA 	0	1.00	2000-12-02 00:00:00.000
2363		769	2000-09-05 00:00:00.000		EA 	0	1.00	2000-08-22 00:00:00.000
1265		770	2000-07-10 00:00:00.000		EA 	0	1.00	2000-06-26 00:00:00.000
1195		771	2000-07-10 00:00:00.000		EA 	0	1.00	2000-06-26 00:00:00.000
3017		772	2001-01-15 00:00:00.000		EA 	0	1.00	2001-01-01 00:00:00.000
3281		773	2001-01-23 00:00:00.000		EA 	0	1.00	2001-01-09 00:00:00.000
2783		774	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
5		775	2000-04-04 00:00:00.000		EA 	0	1.00	2000-03-21 00:00:00.000
2737		776	2000-10-16 00:00:00.000		EA 	0	1.00	2000-10-02 00:00:00.000
2362		777	2000-09-05 00:00:00.000		EA 	0	1.00	2000-08-22 00:00:00.000
1264		778	2000-07-10 00:00:00.000		EA 	0	1.00	2000-06-26 00:00:00.000
1642		779	2000-07-20 00:00:00.000		EA 	0	1.00	2000-07-06 00:00:00.000
