293	17038	2003-09-01 00:00:00.000
295	15369	2001-09-01 00:00:00.000
297	8010	2001-09-01 00:00:00.000
299	5316	2003-09-01 00:00:00.000
301	6653	2001-07-01 00:00:00.000
303	9010	2002-09-01 00:00:00.000
305	8937	2001-07-01 00:00:00.000
307	16124	2002-12-01 00:00:00.000
309	9478	2001-08-01 00:00:00.000
311	17600	2001-09-01 00:00:00.000
313	1970	2003-08-01 00:00:00.000
315	8274	2003-09-01 00:00:00.000
317	13045	2001-07-01 00:00:00.000
319	13601	2001-09-01 00:00:00.000
323	5958	2002-09-01 00:00:00.000
325	10709	2002-07-01 00:00:00.000
327	126	2003-09-01 00:00:00.000
329	6626	2003-07-01 00:00:00.000
331	14963	2002-08-01 00:00:00.000
333	18100	2001-09-01 00:00:00.000
335	12823	2003-05-01 00:00:00.000
337	11434	2003-08-01 00:00:00.000
339	13160	2001-08-01 00:00:00.000
341	3787	2001-12-01 00:00:00.000
343	8979	2001-08-01 00:00:00.000
345	14729	2001-08-01 00:00:00.000
347	6264	2001-08-01 00:00:00.000
349	2273	2003-09-01 00:00:00.000
351	18154	2002-08-01 00:00:00.000
353	18257	2003-09-01 00:00:00.000
355	14184	2001-08-01 00:00:00.000
357	11472	2003-08-01 00:00:00.000
359	10785	2003-08-01 00:00:00.000
361	4215	2001-09-01 00:00:00.000
363	2396	2003-08-01 00:00:00.000
365	4983	2002-07-01 00:00:00.000
367	1660	2001-08-01 00:00:00.000
369	17861	2001-08-01 00:00:00.000
371	15321	2001-08-01 00:00:00.000
373	3756	2003-08-01 00:00:00.000
375	14486	2001-09-01 00:00:00.000
377	16441	2003-08-01 00:00:00.000
379	10338	2003-09-01 00:00:00.000
381	4173	2002-09-01 00:00:00.000
383	18570	2003-09-01 00:00:00.000
385	9102	2002-09-01 00:00:00.000
387	626	2001-12-01 00:00:00.000
389	5409	2002-10-01 00:00:00.000
391	2337	2001-07-01 00:00:00.000
393	5262	2003-09-01 00:00:00.000
397	6272	2002-09-01 00:00:00.000
405	11945	2002-12-01 00:00:00.000
407	14938	2003-09-01 00:00:00.000
409	6306	2003-08-01 00:00:00.000
411	181	2001-08-01 00:00:00.000
413	17315	2002-08-01 00:00:00.000
417	13667	2001-11-01 00:00:00.000
419	12491	2003-08-01 00:00:00.000
421	18295	2002-08-01 00:00:00.000
427	12189	2002-08-01 00:00:00.000
429	16173	2003-04-01 00:00:00.000
431	10057	2002-09-01 00:00:00.000
435	10187	2003-08-01 00:00:00.000
437	5528	2001-08-01 00:00:00.000
439	7083	2001-07-01 00:00:00.000
441	12492	2003-09-01 00:00:00.000
443	7657	2003-09-01 00:00:00.000
445	1977	2003-09-01 00:00:00.000
449	9647	2003-09-01 00:00:00.000
451	1684	2001-11-01 00:00:00.000
453	1163	2001-11-01 00:00:00.000
455	11087	2003-08-01 00:00:00.000
463	3513	2003-09-01 00:00:00.000
465	11282	2001-08-01 00:00:00.000
471	14489	2002-09-01 00:00:00.000
473	9772	2002-08-01 00:00:00.000
475	7777	2003-08-01 00:00:00.000
477	7293	2001-09-01 00:00:00.000
479	14814	2003-09-01 00:00:00.000
481	10832	2003-08-01 00:00:00.000
483	4322	2001-07-01 00:00:00.000
487	18017	2001-07-01 00:00:00.000
489	7527	2003-08-01 00:00:00.000
491	9458	2002-09-01 00:00:00.000
493	13917	2001-08-01 00:00:00.000
495	242	2001-07-01 00:00:00.000
497	14363	2001-08-01 00:00:00.000
501	17699	2003-09-01 00:00:00.000
503	8394	2002-09-01 00:00:00.000
505	3490	2002-09-01 00:00:00.000
507	12316	2003-08-01 00:00:00.000
509	6442	2002-09-01 00:00:00.000
511	319	2001-09-01 00:00:00.000
513	6920	2003-10-01 00:00:00.000
515	12857	2002-09-01 00:00:00.000
517	15232	2001-07-01 00:00:00.000
519	4524	2001-09-01 00:00:00.000
521	1359	2001-08-01 00:00:00.000
523	4789	2001-11-01 00:00:00.000
525	1803	2002-09-01 00:00:00.000
527	972	2001-11-01 00:00:00.000
531	16467	2003-08-01 00:00:00.000
533	1906	2002-07-01 00:00:00.000
535	15842	2001-11-01 00:00:00.000
537	17164	2003-07-01 00:00:00.000
539	1308	2002-08-01 00:00:00.000
541	3392	2003-07-01 00:00:00.000
543	17368	2001-09-01 00:00:00.000
545	8522	2002-08-01 00:00:00.000
547	6340	2002-07-01 00:00:00.000
549	16065	2003-07-01 00:00:00.000
551	19204	2001-07-01 00:00:00.000
553	15195	2003-08-01 00:00:00.000
555	15487	2002-08-01 00:00:00.000
557	4052	2002-07-01 00:00:00.000
559	2741	2002-09-01 00:00:00.000
561	3318	2002-08-01 00:00:00.000
563	11110	2003-07-01 00:00:00.000
565	17281	2003-09-01 00:00:00.000
567	18868	2002-07-01 00:00:00.000
569	16021	2002-07-01 00:00:00.000
573	14612	2001-07-01 00:00:00.000
577	4727	2003-09-01 00:00:00.000
579	15924	2003-08-01 00:00:00.000
581	17540	2003-08-01 00:00:00.000
583	3235	2001-07-01 00:00:00.000
585	5758	2001-11-01 00:00:00.000
587	13536	2003-09-01 00:00:00.000
589	18717	2002-07-01 00:00:00.000
591	1566	2001-07-01 00:00:00.000
595	12715	2003-08-01 00:00:00.000
597	17277	2002-08-01 00:00:00.000
599	10270	2001-08-01 00:00:00.000
